,smiles_huckel_DFT_xyz
12511,[CH3-]->[Ti+4]1234(<-[CH3-])(<-[N-]=P(Cc5ccccc5)(C5CCCCC5)C5CCCCC5)<-c5c->1c->2[cH-]->3c->45
12512,CC(C)(O)C(C)(C)[O-]->[Re+7](<-[O-2])(<-[O-2])<-[O-2]
12513,[O-2]->[Re+7](<-[O-2])(<-[O-2])<-[O-]C1(C2(O)CCCCC2)CCCCC1
12514,CC1C(=O)[N-]2CN(C)C[N-]3C(=O)C(C)=N(O)->[Ni+2]<-2<-3<-N=1[O-]
12515,CC#N->[Ni+2]1(<-[Br-])<-[c-]2ccccc2OP->1(C(C)C)C(C)C
12516,Cc1ccc2[N-]3c4ccc(C)cc4P(C(C)C)(C(C)C)->[RuH+]<-3(<-[C-]#[O+])<-P(c2c1)(C(C)C)C(C)C
12517,CCC[O-]->[Ti+4]123(<-[O-]CCC)<-[O-]c4c(Cl)cc(Cl)cc4CN->1(C)CCN->2(C)Cc1cc(Cl)cc(Cl)c1[O-]->3
12518,CC(C)P(C(C)C)[c-]12->[Zr+4]3456789(<-[CH3-])(<-[CH3-])(<-c(c->3c->41)c->52)<-c1c->6c->7[c-]->8(P(C(C)C)C(C)C)c->91
12519,CCP(CC)(CC)->[Rh+]1(<-[Cl-])(<-C=C->12CC2c1ccc(C)cc1)<-P(CC)(CC)CC
12521,CC#N->[Ni+2]1(<-[Br-])<-[c-]2c(OC)cc(OC)cc2OP->1(C(C)C)C(C)C
12522,[Cl-]->[Zr+4]12345678(<-[Cl-])(<-c9c->1c->2[c-]->3(P(c1ccccc1)c1ccccc1)c->49)<-c1c->5c->6[c-]->7(P(c2ccccc2)c2ccccc2)c->81
12523,CC(C)P(C(C)C)[c-]12->[Zr+4]3456789(<-[Cl-])(<-[Cl-])(<-c(c->3c->41)c->52)<-c1c->6c->7[c-]->8(P(C(C)C)C(C)C)c->91
12524,CC(C)(C)P(C(C)(C)C)[c-]12->[Zr+4]3456789(<-[Cl-])(<-[Cl-])(<-c(c->3c->41)c->52)<-c1c->6c->7[c-]->8(P(C(C)(C)C)C(C)(C)C)c->91
12525,CC(C)(C)P(C(C)(C)C)[c-]12->[Re+3]345(<-[CH3-])(<-[N-]=O)(<-c(c->3c->41)c->52)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
12526,CC1c2cccc3C(C)=N(c4ccc(F)cc4C(F)(F)F)->[Fe+2](<-[Br-])(<-[Br-])(<-N=1c1ccc(F)cc1C(F)(F)F)<-n23
12527,COc1ccc(Cl)c[c-]1->[Re+3]1(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-c2(C)c(C)c(C)c(C)[c-]->12C
12528,Cc1cc[c-](->[Re+3]2345(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-c6(C)c->2(C)c->3(C)[c-]->4(C)c->56C)cc1Cl
12529,CS(C)(=O)->[Pt+4]1(<-[Cl-])(<-[Cl-])(<-[Cl-])<-[O-]c2c(Cl)cc(Cl)cc2C=N->1O
12530,C[Si]1(C)CCC[N-]2C=C3C=CC=N3->[Ni+2]<-23<-N2=CC=CC2=C[N-]->3CCC[Si](C)(C)O1
12531,CC(C)P(C(C)C)(C(C)C)->[RuH2+2]1(<-[O-]c2ccccc2[O-]->1)<-P(C(C)C)(C(C)C)C(C)C
12532,C1c2ccccc2[O-]->[Ni+2]23<-[O-]c4ccccc4C=N->2C2=C(N->3=1)CCCC2
12533,[O-2]->[Re+5]1(<-[Cl-])(<-[Cl-])(<-[O-]c2ccccc2C=N->1c1cc2ccccc2s1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
12536,CS(C)(=O)->[Rh+3]1234(<-[Br-])(<-[Br-])<-c5[cH-]->1c->2c->31ccccc->451
12537,Oc1ccc(O)c(-c2cc3-c4ccccn4->[Ru+2]45(<-[Cl-])(<-n6ccccc6-c6ccccn->46)<-n4ccccc4-c(c2)n->53)c1
12539,CP(C)(C)->[Fe+2]12(<-[c-]3ccccc3C=N->1c1cccc3ccc[c-]->2c13)(<-P(C)(C)C)<-P(C)(C)C
12540,CP(C)(C)->[Fe+2]12(<-[C-](=Cc3ccccn->13)c1cccc3ccc[c-]->2c13)(<-P(C)(C)C)<-P(C)(C)C
12541,[O+]#[C-]->[W]12(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-C=C->1)<-C=C->2
12542,O=C1CP(c2ccccc2)(c2ccccc2)->[Pt+2]2(<-[O-]1)<-[O-]C(=O)CP->2(c1ccccc1)c1ccccc1
12543,O=C1CP(c2ccccc2)(c2ccccc2)->[Pd+2](<-[Cl-])(<-[O-]1)<-P(c1ccco1)(c1ccco1)c1ccco1
12546,C[Si-](C)(C)->[Nb+3]123456789(<-C=C->1)(<-c1c->2c->3[cH-]->4c->51)<-c1c->6c->7[cH-]->8c->91
12547,C[Si](C)(C)[CH2-]->[Nb+5]12345678(<-[Cl-])(<-c9c->1c->2[cH-]->3c->49)<-c1c->5c->6[cH-]->7c->81
12549,Cc12->[Rh+3]3456(<-[Cl-])(<-n7ccccc7C7=CC(c8ccccc8)=CC(c8ccccc8)P->37O)<-c1(C)c->4(C)[c-]->5(C)c->62C
12550,Cc12->[Ir+3]3456(<-[Cl-])(<-n7ccccc7-c7cc(-c8ccccc8)cc(-c8ccccc8)n->37)<-c1(C)c->4(C)[c-]->5(C)c->62C
12551,Cc12->[Rh+3]3456(<-[Cl-])(<-n7ccccc7-c7cc(-c8ccccc8)cc(-c8ccccc8)n->37)<-c1(C)c->4(C)[c-]->5(C)c->62C
12552,Cc12->[Ir+3]3456(<-[Cl-])(<-n7ccccc7-c7cc(-c8ccccc8)cc(-c8ccccc8)p->37)<-c1(C)c->4(C)[c-]->5(C)c->62C
12553,Cc12->[Rh+3]3456(<-[Cl-])(<-n7ccccc7-c7cc(-c8ccccc8)cc(-c8ccccc8)p->37)<-c1(C)c->4(C)[c-]->5(C)c->62C
12554,C1c2ccccc2[O-]->[Pt+2]23<-[O-]c4ccccc4C=N->2CCOCCOCCN->3=1
12556,CSC(NN)=N->[Ni+2](<-N=C(NN)SC)(<-[O-][N+](=O)[O-])<-[O-][N+](=O)[O-]
12558,CN1(C)CCN(C)(C)->[Pt+2]<-1(<-[Cl-])<-[CH-]=Cc1cccc([N+](=O)[O-])c1
12559,COc1ccc(C=[CH-]->[Pt+2]2(<-[Cl-])<-N(C)(C)CCN->2(C)C)cc1
12560,CN1(C)CCN(C)(C)->[Pt+2]<-1(<-[Cl-])<-[CH-]=Cc1ccccc1
12561,CN1(C)CCN(C)(C)->[Pt+2]<-1(<-[Cl-])<-[CH-]=Cc1ccccc1
12562,C[Si](C)(C)C=C=[C-]1C(C(c2ccccc2)=[C-](c2ccccc2)->[Zr+4]<-123456789(<-c1c->2c->3[cH-]->4c->51)<-c1c->6c->7[cH-]->8c->91)[Si](C)(C)C
12566,COc1ccc(N2=Cc3ccccc3P(c3ccccc3)(c3ccccc3)->[Pt+2]<-2(<-[Cl-])<-[Cl-])cc1
12569,[Cl-]->[Pt+2]12(<-[Cl-])(<-C=C->1c1ccccc1)<-C=C->2c1ccccc1
12570,Cc12->[Rh+3]345(<-[Cl-])(<-[Cl-])(<-n6ccc(-c7ccc8cccnc8n7)cc6)<-c1(C)c->3(C)[c-]->4(C)c->52C
12572,Oc1cccc2C=N3c4ccccc4[O-]->[Pd+2]<-3(<-[O-]c12)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
12573,NC1=NN2=Cc3cccc(O)c3[O-]->[Pd+2]<-2(<-[S-]1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
12575,[Br-]->[Pd+2]12(<-n3cccc4cccc(P->1(c1ccccc1)c1ccccc1)c43)<-n1cccc3cccc(P->2(c2ccccc2)c2ccccc2)c31
12576,[Cl-]->[Pd+2]1(<-n2cccc3cccc(P->1(c1ccccc1)c1ccccc1)c32)<-P(c1ccccc1)(c1ccccc1)c1cccc2cccnc12
12577,N#[C-]->[Zn+2]1(<-[C-]#N)<-N23CCCCC2C2CC(C3)C3CCCCN->13C2
12578,[O+]#[C-]->[Re+]1(<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])<-NCC(CN->1)OC1OCC(O)C(O)C1O
12582,CCC1COC2c3ccccc3[O-]->[Ir+3]34(<-[c-]5cc(F)cc(F)c5-c5ccccn->35)(<-[c-]3cc(F)cc(F)c3-c3ccccn->43)<-N=21
12583,CCC1COC2c3ccccc3[O-]->[Ir+3]34(<-[c-]5cc(F)cc(F)c5-c5ccccn->35)(<-[c-]3cc(F)cc(F)c3-c3ccccn->43)<-N=21
12584,CCC1COC2c3ccccc3[O-]->[Ir+3]34(<-[c-]5cc(F)cc(F)c5-c5ccccn->35)(<-[c-]3cc(F)cc(F)c3-c3ccccn->43)<-N=21
12585,c1ccc([As]2[As-](c3ccccc3)->[Ti+4]3456789%10(<-c%11c->3c->4[cH-]->5c->6%11)(<-c3c->7c->8[cH-]->9c->%103)<-[As-]2c2ccccc2)cc1
12586,Cc1cc(C)c(N2CCCN(c3c(C)cc(C)cc3C)[C]2->[Rh+]234(<-[O-]C(=O)C(F)(F)F)<-C5=C->2CCC->3=C->4CC5)c(C)c1
12587,C[O-]->[Re+5]12(<-[O-2])(<-n3cccn3[B-](c3ccccc3)(c3ccccc3)O->1C)<-n1cccn1[B-](c1ccccc1)(c1ccccc1)O->2C
12588,[O+]#[C-]->[Mn+]1(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-n2ccccc2-c2ccccn->12
12589,CC1(C)C2CCC13CS1->[Rh+](<-[Cl-])(<-[C-]#[O+])<-P(c4ccccc4)(c4ccccc4)c4ccccc4C1OC3C2
12590,Fc1ccc(S2Cc3ccccn3->[Pt+2]<-2(<-[Cl-])<-[Cl-])cc1
12591,O->[Fe+2](<-O)(<-[N-]=C=S)(<-[N-]=C=S)(<-n1ccc(C=Cc2ccncc2)cc1)<-n1ccc(C=Cc2ccncc2)cc1
12596,CC(C)P(C(C)C)(C(C)C)->[Rh+]1(<-[F-])(<-C=C->1)<-P(C(C)C)(C(C)C)C(C)C
12598,C=[C-]1C2(C)c3cccc[c-]3->[Ir+3]<-134(<-[C]1C=CC=C(c5ccccc5)N12)<-n1c(C)cc(C)n1[BH-](n1c(C)cc(C)n->31)n1c(C)cc(C)n->41
12605,Brc1ccc2[O-]->[Ni+2]3(<-[O-]c4ccc(Br)cc4C=N->3C3CCCCC3)<-N(=Cc2c1)C1CCCCC1
12606,c1ccc(P2(C3=C4N(CCCC3)CCC[N-]4->[Ir+]<-2345<-C2=C->3CCC->4=C->5CC2)c2ccccc2)cc1
12607,CCP1(CC)CCP(CC)(CC)->[Rh+]<-12<-[N-]1CCCN3CCCCC(P->2(c2ccccc2)c2ccccc2)=C31
12608,CN(C)C=CC1=O->[Ni+2]2(<-[N-]=C=S)(<-[N-]=C=S)(<-O=C(C=CN(C)C)c3ccccn->23)<-n2ccccc21
12609,[O+]#[C-]->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-](=Cc1ccccc1)c1ccccc1
12610,CCP1(CC)CCP(CC)(CC)->[Ir+]<-12<-[N-]1CCCN3CCCCC(P->2(c2ccccc2)c2ccccc2)=C31
12612,O=C(O)CCN1CCS2CCc3ccccn3->[Re+]<-1<-2(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+]
12613,S=C=[N-]->[Fe+2](<-[N-]=C=S)(<-n1ccccc1)(<-n1ccccc1)(<-n1ccccc1)<-n1ccccc1
12614,CC(C)(C)N1=Cc2ccc[n-]2->[Hf+4]<-12345(<-[CH3-])(<-[CH3-])<-c1(C)c->2(C)c->3(C)[c-]->4(C)c->51C
12615,Cc1cccc(C)c1N1=Cc2ccc[n-]2->[Hf+4]<-12345(<-[CH3-])(<-[CH3-])<-c1(C)c->2(C)c->3(C)[c-]->4(C)c->51C
12616,COc1ccc(N2=Cc3ccc[n-]3->[Zr+4]<-23456(<-[CH3-])(<-[CH3-])<-c2(C)c->3(C)c->4(C)[c-]->5(C)c->62C)cc1
12617,COc1ccc(N2=Cc3ccc[n-]3->[Ti+4]<-23456(<-[CH3-])(<-[CH3-])<-c2(C)c->3(C)c->4(C)[c-]->5(C)c->62C)cc1
12619,CN1(C)Cc2cccc3CN(C)(C)->[Pt+2]<-1(<-[I-])<-[c-]23
12621,C=C[CH2-]->[Pt+4]1(<-[Br-])(<-[c-]2ccc(C)cc2)(<-[c-]2ccc(C)cc2)<-n2ccccc2-c2ccccn->12
12622,C1c2ccccc2[O-]->[Cd+2]234(<-[O-]c5ccccc5C=N->2Nc2ccccn->32)<-N=1Nc1ccccn->41
12623,C1c2ccccc2[O-]->[Co+3]234(<-[O-]c5ccccc5C=N->2Nc2ccccn->32)<-N=1Nc1ccccn->41
12624,C1c2ccccc2[O-]->[Zn+2]234(<-[O-]c5ccccc5C=N->2Nc2ccccn->32)<-N=1Nc1ccccn->41
12625,Cc1cccc2N=C3c4ccccc4C4=Nc5cccc(C)n5->[Fe+2](<-[CH2-][Si](C)(C)C)(<-n12)<-[N-]34
12626,CC(C)(C)c1cc2[O-]->[Co+3](<-[CH3-])(<-[O-]c2c(C(C)(C)C)c1)(<-P(C)(C)C)(<-P(C)(C)C)<-P(C)(C)C
12627,CC1Cc23->[Cr]4567(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->4c->5c->62C1C)c->73
12628,CN(C)c1ccc(C=CC=CC(=O)c23->[Re+]456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->42)[cH-]->5c->63)cc1
12629,CN(C)c1ccc(C=CC(=O)c23->[Re+]456(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-c(c->42)[cH-]->5c->63)cc1
12630,Cc1c(C)c2(C)->[Ti+4]34567(<-[Cl-])(<-[Cl-])(<-c8(C)c->3(C)c->4(C)[c-]->5([Si](C)(C)CCC(F)(F)F)c->68C)<-c1(C)[c-]->72[Si](C)(C)CCC(F)(F)F
12633,[Cl-]->[Zn+2]12(<-[Cl-])(<-n3cccc4ccc(-c5ccco5)n->1c43)<-n1cccc3ccc(-c4ccco4)n->2c31
12635,Cc1cc(C)[c-](->[Pd+2]2(<-[c-]3c(C)cc(C)cc3C)<-N(C)(C)CCN->2(C)C)c(C)c1
12636,CN1(C)CCN(C)(C)->[Pd+2]<-1(<-[c-]1c(C(F)(F)F)cc(C(F)(F)F)cc1C(F)(F)F)<-[c-]1c(C(F)(F)F)cc(C(F)(F)F)cc1C(F)(F)F
12637,CCP(CC)(CC)->[Ni+2](<-[F-])(<-[c-]1c(F)c(F)c(I)c(F)c1F)<-P(CC)(CC)CC
12638,CCP(CC)(CC)->[Ni+2](<-[Cl-])(<-[c-]1c(F)c(F)c(I)c(F)c1F)<-P(CC)(CC)CC
12639,CCP(CC)(CC)->[Ni+2](<-[Br-])(<-[c-]1c(F)c(F)c(I)c(F)c1F)<-P(CC)(CC)CC
12640,CCP(CC)(CC)->[Ni+2](<-[I-])(<-[c-]1c(F)c(F)c(I)c(F)c1F)<-P(CC)(CC)CC
12641,CCP(CC)(c1ccccc1)->[Ni+2](<-[I-])(<-[c-]1c(F)c(F)c(I)c(F)c1F)<-P(CC)(CC)c1ccccc1
12642,CP(C)(C)->[Co+]1(<-[CH-]=Cc2ccccn->12)(<-P(C)(C)C)<-P(C)(C)C
12643,CCP(CC)(CC)->[Ni+2](<-[F-])(<-[c-]1c(F)c(F)c(F)c(F)c1I)<-P(CC)(CC)CC
12644,CP(C)(C)->[Co+]1(<-N=C(c2ccccc2)c2cccc[c-]->12)(<-P(C)(C)C)<-P(C)(C)C
12645,CCP(CC)(CC)->[Ni+2](<-[I-])(<-[c-]1c(F)c(F)c(F)c(F)c1I)<-P(CC)(CC)CC
12647,[O+]#[C-]->[Mo+2]12(<-[Br-])(<-[Br-])(<-n3ccccc3-c3ccccn->13)<-P(CP->2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
12649,CCOC(=O)c1cccn2->[Pt+2]3(<-[S-]C(C#N)=C(C#N)[S-]->3)<-n3cccc(C(=O)OCC)c3-c12
12651,CC(C)(C)P(C(C)(C)C)->[W+2]1234(<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])<-c5c->1c->2[cH-]->3c->45
12652,CC(C)P(c1ccccc1C1OCCO1)(C(C)C)->[Rh+]123(<-[Cl-])<-C4=C->1CCC->2=C->3CC4
12653,CC(C)P1(c2ccccc2C2OCCO2->[Rh+]<-1234<-C1=C->2CCC->3=C->4CC1)C(C)C
12654,Cc1cc(C)[c-]2->[IrH2+]34<-[C]5N(Cc6cccc(CP->3(c3ccccc3)c3ccccc3)n->46)CCN5c2c1
12655,CC(C)(C)C(=O)Nc1cccc2CN34Cc5ccccn5->[Fe+2]<-3(<-[Cl-])(<-[Cl-])(<-n3c(Br)cccc3C4)<-n21
12656,[Cl-]->[Rh+]123(<-C4=C->1CCC->2=C->3CC4)<-P(c1ccccc1)(c1ccccc1)c1ccccc1C1OCCCO1
12657,c1ccc(P2(c3ccccc3)c3ccccc3C3OCCCO3->[Rh+]<-2345<-C2=C->3CCC->4=C->5CC2)cc1
12658,CC(C)P1(c2ccccc2C2OCCCO2->[Rh+]<-1234<-C1=C->2CCC->3=C->4CC1)C(C)C
12660,Cc1cc2c3c(P(C(C)C)(C(C)C)->[Ni+2]4(<-[C-]#[O+])<-[N-]3c3c(cc(C)cc3P->4(C(C)C)C(C)C)C2(C)C)c1
12661,CC(C)(C)P1(CP(C(C)(C)C)(C(C)(C)C)->[Pt+2]<-1(<-[Cl-])<-[Cl-])C(C)(C)C
12663,CC1(C)COC2[B-]3(C4=N(->[Zn+2]56(<-O=C->5[O-]->6)(<-N=21)<-N1=C3OCC1(C)C)C(C)(C)CO4)c1ccccc1
12666,CC12c3ccccn3->[Fe+2]345(<-[Cl-])<-n6ccccc6CN->3(CCN->4(Cc3ccccn->53)C1)C2
12668,CC12c3ccccn3->[Fe+2]345(<-[Br-])<-n6ccccc6CN->3(CCN->4(Cc3ccccn->53)C1)C2
12669,CC1N=N2C(=O)c3cccc[c-]3->[Pd+2]<-23<-N(NC(=O)c2ccccc2)=C(C)C2=CC=CC=1[N-]->32
12670,CC(C)=N(NC(=O)c1ccccc1)->[Pt+2](<-[Cl-])(<-[Cl-])<-N(NC(=O)c1ccccc1)=C(C)C
12671,[Cl-]->[Ru+2]12345(<-c6c->1c->2[cH-]->3c->46)<-P(OCC1CCCN1P->5(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1
12673,C(#CC1#C(c2ccccc2)->[Pt]<-12<-P(CCP->2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1
12677,[Cl-]->[Pd+2]1(<-[Cl-])<-P2(Cc3ccccc3-c3ccccc3CP->13C1CCCC3CCC1)C1CCCC2CCC1
12678,[Cl-]->[Pt+2]1(<-[Cl-])<-P2(Cc3ccccc3-c3ccccc3CP->13C1CCCC3CCC1)C1CCCC2CCC1
12679,CC1C=C([O-]->[Zn+2]2(<-[O-]c3c(C(C)(C)C)cccc3C(C)(C)C)<-N=1c1cccc3ccc(C)n->2c13)C(F)(F)F
12680,Cc1ccc2cccc3N4=C(C=C([O-]->[Zn+2]<-4(<-[O-]c4c(C(C)(C)C)cccc4C(C)(C)C)<-n1c32)C(C)(C)C)C(F)(F)F
12681,CCP(CC)(CC)->[Pd]1(<-C=C->1(c1ccccc1)P(=O)(c1ccccc1)c1ccccc1)<-P(CC)(CC)CC
12682,Cc1ccc2cccc3N4=C(C=C([O-]->[Zn+2]<-4(<-n1c32)<-[N-]([Si](C)(C)C)[Si](C)(C)C)C(C)(C)C)C(F)(F)F
12683,CC(C)(C)C1=CC(=N2c3cccc4cccn(->[Zn+2]<-2(<-[O-]1)<-[O-]c1c(C(C)(C)C)cccc1C(C)(C)C)c34)C(F)(F)F
12686,CC(C)c1cccc(C(C)C)c1N1=C(c2ccccc2)[N-](c2c(C(C)C)cccc2C(C)C)->[Ti+4]<-1(<-[Cl-])(<-[Cl-])(<-[Cl-])<-[Cl-]
12687,[Cl-]->[Ti+4](<-[Cl-])(<-[O-]c1c(-c2ccccc2)cccc1-c1ccccc1)<-[O-]c1c(-c2ccccc2)cccc1-c1ccccc1
12689,CCNC1N=N2C(C)=C3C=CC=C[N-]3->[Zn+2]<-234(<-S=1)<-S=C(N=N->3C(C)=C1C=CC=C[N-]->41)NCC
12691,CC1=C2C=CC=C[N-]2->[Zn+2]234(<-S=C(N=N->21)Nc1ccccc1)<-S=C(N=N->3C(C)=C1C=CC=C[N-]->41)Nc1ccccc1
12692,[Br-]->[Zn+2]1(<-[Br-])<-N23CCCCC2C2CC(C3)C3CCCCN->13C2
12693,COC(=O)C1=[C-](c2ccccc2)->[Co+3]23456(<-O=C(OC)C1[CH-]->2C(=O)OC)<-c1c->3c->4[cH-]->5c->61
12694,CC(C)c12->[Ru+2]34567(<-[Cl-])(<-S=C(Nc8ccc(F)cc8)c8ccccn->38)<-c(c->41)c->5(C)c->6c->72
12695,CN1CCNC1=S->[Au+]<-S=C1NCCN1C
12696,C1CSC(=S->[Au+]<-S=C2NCCS2)N1
12697,CC1CCC(C)P(c2ccccc2)(c2ccccc2)->[Rh+]234(<-C5=C->2CCC->3=C->4CC5)<-P1(c1ccccc1)c1ccccc1
12698,Cc1cc(C)n(->[Re+](<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n2[nH]c(C)cc2C)[nH]1
12699,CO->[Rh+3]1(<-[Cl-])(<-[Cl-])(<-[Cl-])<-O=c2[nH]c3ccc(C)cc3cc2-c2[nH]c3ccccc3n->12
12700,CO->[Rh+3]1(<-[Cl-])(<-[Cl-])(<-[Cl-])<-O=c2[nH]c3ccc(C)cc3cc2-c2[nH]c3cc(C)c(C)cc3n->12
12701,CO->[Rh+3]1(<-[Cl-])(<-[Cl-])(<-[Cl-])<-O=c2[nH]c3ccc(C)cc3cc2-c2[nH]c3cc(F)c(F)cc3n->12
12702,CO->[Rh+3]1(<-[Cl-])(<-[Cl-])(<-[Cl-])<-O=c2[nH]c3ccc(C)cc3cc2-c2[nH]c3cc(Cl)c(Cl)cc3n->12
12703,CO->[Rh+3]1(<-[Cl-])(<-[Cl-])(<-[Cl-])<-O=c2[nH]c3ccc(C)cc3cc2-c2[nH]c3cc(Br)c(Br)cc3n->12
12706,Cc1cccc2C=N(C(C)c3ccccc3)->[Pt+2](<-[CH3-])(<-[Cl-])<-n12
12707,Cc1cccc2C=N(C(C)c3ccccc3)->[Pt+2]3(<-[CH3-])(<-[Cl-])(<-C=C->3)<-n12
12708,CC(C)(C)c1cccc2C=O->[Ti+4]3(<-[Cl-])(<-[Cl-])(<-O=Cc4cccc(C(C)(C)C)c4[O-]->3)<-[O-]c21
12709,CC(C)(C)c1cccc2C=N(C(C)(C)Cc3ccccc3)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[O-]c21)<-O1CCCC1
12710,CC(C)(C)c1cccc2C=N(C(C)(C)c3ccccc3)->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[O-]c21)<-O1CCCC1
12711,[Cl-]->[Ti+4]12(<-[Cl-])(<-[O-]c3ccccc3C=N->1CCc1ccccc1)<-[O-]c1ccccc1C=N->2CCc1ccccc1
12714,CC(=O)[O-]->[Zn+2]123(<-O=C(C)[O-]->1)<-n1c(-c4[nH]c5ccccc5n->24)cccc1-c1[nH]c2ccccc2n->31
12715,Nn1c(-c2ccc(Cl)cc2)nn2->[Fe+2]3(<-[N-]=C=S)(<-[N-]=C=S)(<-n4ccccc4-c12)<-n1ccccc1-c1n(N)c(-c2ccc(Cl)cc2)nn->31
12716,[Cl-]->[Pt+2]1(<-[Cl-])<-N(=Cc2ccccn->12)c1ccc2ccccc2c1
12717,COc1cccc2C=N3c4ccccc4[O-]->[Mo+6]<-3(<-[O-2])(<-[O-2])(<-O=S(C)C)<-[O-]c21
12718,Cc12->[Ir+3]3456(<-[Cl-])(<-[c-]7cc8ccccc8cc7C=N->3c3ccccc3)<-c1(C)c->4(C)[c-]->5(C)c->62C
12719,COc1ccc(N2=Cc3cc4ccccc4c[c-]3->[Ir+3]<-23456(<-[Cl-])<-c2(C)c->3(C)c->4(C)[c-]->5(C)c->62C)cc1
12720,O.O=C1[O-]->[Ni+2]23(<-[O-]C(=O)c4cc(O)cc1n->24)<-n1ccccc1-c1ccccn->31
12721,Cc1ccc(-c2ccccc2C=N2CCN(C)(C)->[Pt+2]<-2(<-[Br-])<-[c-]2ccc(C)cc2)cc1
12722,CC1C(C)=N(c2ccccc2)->[Ni+2](<-[Br-])(<-[Br-])<-N=1c1ccccc1
12723,CCc1cccc(CC)c1N1=C(C)C(C)=N(c2c(CC)cccc2CC)->[Ni+2]<-1(<-[Br-])<-[Br-]
12725,CC1C(C)=N(c2c(C)cc(C)cc2C)->[Ni+2](<-[Br-])(<-[Br-])<-N=1c1c(C)cc(C)cc1C
12726,[Cl-]->[Hg+2]<-[Cl-].c1ccc(CSCc2ccccn2)nc1
12728,Cc1cc(C)c(C#Cc2ccccc2C(=S->[Au+]<-[Cl-])N(C)C)c(C)c1
12729,[Cl-]->[Zn+2]1(<-[Cl-])<-n2ccccc2CSCc2ccccn->12
12730,CC(C)N1C=CN(C(C)C)[C]1->[Ni+2](<-[Br-])(<-[C]1N(C(C)C)C=CN1C(C)C)<-[C-](=O)c1ccccc1
12731,Cc1cc(C)c(N2C=CN(Cc3cccc(-c4ccccn4)n3)[C]2->[Au+]<-[Cl-])c(C)c1
12732,Cc1cc(C)c(N2C=CN(Cc3cccc(-c4ccccn4)n3)[C]2->[Au+]<-[c-]2c(F)c(F)c(F)c(F)c2F)c(C)c1
12733,CS(C)->[Ru+2](<-[Cl-])(<-[Cl-])(<-n1cc2ccccc2[nH]1)(<-n1cc2ccccc2[nH]1)<-S(C)C
12734,CC1(C)[O-]->[Cu+3]23<-[O-]C(C)(C)C(=O)[N-]->2c2ccccc2[N-]->3C1=O
12736,CC(C)CN1C=C(c2ccccc2)N(C)[C]1->[Pd+2](<-[Br-])(<-[Br-])<-n1ccccc1
12737,CN1C(c2ccccc2)=CN(Cc2ccccc2)[C]1->[Pd+2](<-[Br-])(<-[Br-])<-n1ccccc1
12738,[Br-]->[Au+3](<-[Br-])(<-[Br-])<-n1cccc2c3ncccc3ccc21
12739,CC(=O)[O-]->[Ru+6](<-[O-2])(<-[O-2])(<-[O-]C(C)=O)(<-n1ccccc1)<-n1ccccc1
12740,C[Si](C)(C)[c-]12->[Zr+4]3456789(<-[Cl-])(<-[Cl-])(<-c(c->3c->41)c->52)<-c1c->6c->7[c-]->8([Si](C)(C)C)c->91
12741,C[Si](C)(C)[c-]12->[Zr+4]3456789(<-[Br-])(<-[Br-])(<-c(c->3c->41)c->52)<-c1c->6c->7[c-]->8([Si](C)(C)C)c->91
12742,C[Si](C)(C)c12->[Zr+4]3456789(<-[Br-])(<-[Br-])(<-c1c->3[c-]->4([Si](C)(C)C)c->52)<-c1c->6[c-]->7([Si](C)(C)C)c->8c->91[Si](C)(C)C
12743,[Cl-]->[Cu+](<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
12744,[I-]->[Cu+](<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1
12745,OCc1ccn2->[Zn+2]3(<-[Cl-])(<-O=c4cccccc4[O-]->3)<-n3ccc(CO)cc3-c2c1
